Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Art Work: On the Creative Life,Sally Mann,"",9781419780714,hardcover,to-read,2026/01/02,"","",0,"",,,,,,,,,"",,"",No
Reading American Photographs: Images as History-Mathew Brady to Walker Evans,Alan Trachtenberg,"",9780374522490,paperback,to-read,2023/03/29,"","",0,"",,,,,,,,,"",,"",No
"Experience on Demand: What Virtual Reality Is, How It Works, and What It Can Do",Jeremy Bailenson,"",9780393356854,paperback,read,2022/08/07,2023/03/19,2023/03/19,1,"",,,,,,,4.0,"Experience on Demand is not a book that seeks to explore or explain the cutting edge of VR technology. It is instead a survey about how how humans interact with this new technology and the physiological ways that VR can and almost certainly will be a force for both good and bad in society. An accessible introduction to virtual reality, I will be recommending it to anyone interested in the field.","",,"",No
Villette,Charlotte Brontë,Helen M. Cooper (Contributor),9780241198964,hardcover,read,2023/10/23,2024/09/02,2024/09/02,1,"",,,,,,,4.0,"I liked this book, but I can’t quite articulate why. I do however know that I love the way that Charlotte Brontë writes.<br><br>The last few chapters made me cry!! I’d love to revisit this book in the future, maybe after reading Brontë biography.","",,"",No
Because of Winn-Dixie,Kate DiCamillo,"",9780763616052,paperback,read,2025/01/08,2025/01/19,2025/01/19,1,"",,,,,,,4.0,"In middle and high school, I was a Quizlet power user. I made flashcards for just about everything and would study them on the school bus or while walking to class. For six years, I created weekly vocabulary flashcards for Friday quizzes. Once, in my freshman honors English class, a girl got caught cheating when her phone started reading aloud the definition—my definition—of the word melancholy. She got a brief reprimand, her phone was confiscated for the day, and her real punishment was having to finish the quiz on her own.<br><br>I felt a little bad for her, maybe a little proud that she had chosen my definition to cheat with. But I was also amused that she got caught looking up the word <i>melancholy</i>. I thought everyone knew it. The word had been part of my vocabulary for what felt like forever.<br><br>Re-reading <i>Because of Winn-Dixie</i>, I realized the first time the word entered my life. I was sitting on the rug at the front of my second-grade classroom, staring at the small fish tattoo that peeked out from my teacher’s ballet flat as she sat cross-legged reading aloud. It was Opal’s father, The Preacher, who introduced me to the word, and I haven’t forgotten it since. I liked the way it sounded, just as Opal did: “like there was music hidden somewhere inside it.”<br><br>Returning to this book as an adult was inspired by Ann Patchett’s essay in <i>These Precious Days</i>, where she recounts discovering Kate DiCamillo’s work and falling in love with her children’s books. In her introduction to the 20th-anniversary edition of <i>Because of Winn-Dixie</i>, Patchett writes that “it is the central fantasy of childhood—and maybe of life—that you alone can see the goodness and potential in someone whose goodness and potential no one else sees.” That sentiment captures so much of the book’s magic: the transformative power of love and friendship; the idea that you should judge people not by their past, but by what they are doing with their present; that you can't hold onto something that wants to go; and it's important to love what you have while you have it.<br><br>Hope, resilience, and friendship are central to <i>Because of Winn-Dixie</i>, but so is an acknowledgment of life’s sadness, loss, and fear. As Opal reflects: “I lay there and thought how life was like a Litmus Lozenge, how the sweet and the sad were all mixed up together and how hard it was to separate them out.” <br><br>DiCamillo has been asked before how honest a children’s author should be with their readers: Is the job of the writer to tell the truth or to preserve the innocence of their young audience?<br><br>The truth is that kids are a lot smarter and more observant than we give them credit for. They see when people are unkind to each other. They notice their parents arguing. They pick up on political divides and overhear harsh words. On the podcast <i>On Being with Krista Tippett</i>, DiCamillo said, children are “aware of everything that’s going on, and what a disservice not to talk to them. And also, at the same time, what a disservice not to offer them hope and love, because that’s what stories do, too. But they also need to tell the truth. And the truth is that it’s really difficult to be here. It is a huge gift to be here. It’s beautiful here. And it’s also challenging.” (<a href=""https://onbeing.org/programs/kate-dicamillo-on-nurturing-capacious-hearts/"">podcast linked here</a>)<br><br>For years, I've remembered <i>Because of Winn-Dixie</i> as a sweet story about a dog, only to realize, reading it again, that it was also the book that planted the word <i>melancholy</i> into my life. <br><br>Sweet and sad are simply parts of life. The trick is learning how to live with them both. Stories like DiCamillo’s <i>Because of Winn-Dixie</i> show us how. <br><br><i>Melancholy</i> (noun): a feeling of pensive sadness, typically with no obvious cause.","",,"",No
The Great Gatsby,F. Scott Fitzgerald,"",9780743273565,paperback,read,2024/11/22,"","",1,"",,,,,,,4.0,"All roads lead to West Egg - things that inspired me to read <i>The Great Gatsby</i> this week:<br><br>1. It just turned 100 years old last month!<br><br>2. I’ve been listening to Florence + the Machine a lot lately, and when I looked up if she had any new music on the way, I discovered she’s been working on a Gatsby adaptation for Broadway (not the one currently on Broadway, but a different one).<br><br>3. I read a long essay in <i>The Atlantic</i> last week about JD Vance, where the author argues that “In another age, [Vance’s] rise might have been taken as proof that the American dream was alive and mostly well. But our age has no simply inspiring and unifying tales, and each chapter of Vance’s success is part of a national failure” (“The Talented Mr. Vance,” by George Packer, upcoming in the July 2025 issue). On the subject of the American Dream, I can’t think of any character more symbolic of it than Gatsby.","",,"",No
Such a Fun Age,Kiley Reid,"",9780525541905,hardcover,to-read,2023/11/13,"","",0,"",,,,,,,,,"",,"",No
On Love,Alain de Botton,"",9780802142405,paperback,read,2023/10/22,2025/11/08,2025/11/08,1,"",,,,,,,2.0,I liked this a lot for the first 25 pages… then less and less with each subsequent page until I gave up halfway through.,"",,"",No
Tower of Dawn,Sarah J. Maas,"",9781639731046,hardcover,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
Lessons in Chemistry,Bonnie Garmus,"",9781529938296,hardcover,read,2022/07/26,2022/07/28,2022/07/28,1,"",,,,,,,3.0,"The back cover of this book says “Zott is a feminist icon”, but I’m almost certain that the only things I will be able to recall about this book in a few months time is that it was about chemistry, cooking, rowing, and death. And the dog was occasionally the narrator. I don't regret reading it, but will not be recommending it.","",,"",No
The Importance of Being Earnest,Oscar Wilde,"",9781580495806,paperback,to-read,2023/10/23,"","",0,"",,,,,,,,,"",,"",No
The Sisters: The Saga of the Mitford Family,Mary S. Lovell,"",9780393324143,paperback,to-read,2024/02/03,"","",0,"",,,,,,,,,"",,"",No
"Trust Me, I'm Lying: Confessions of a Media Manipulator",Ryan Holiday,"",9781591845539,hardcover,read,2025/09/17,2025/09/17,2025/09/17,1,"",,,,,,,2.0,"This book randomly reminded me how much I adore HBO’s The Newsroom (one of my all time favorite shows and way more worthy of your time than this book). <br><br>When that show aired, and when this book was written, we were right at the edge of the “fake news” era. The whole premise of The Newsroom is that people want to be informed voters, they want the truth, they want both sides of the story. But the decade since has shown almost the exact opposite.<br><br>This book was pretty out of date (not sure where I saw it referenced recently that inspired me to check it out), and reads as an early sketch of how “fake news” works and how financial pressure shapes journalism in the digital age.<br> <br>Lots of focus is place on blogs which really started to emerge as a major news source in the late 2000s and early 2010s. Twitter played a huge role in breaking news too, and people came to expect near instant access to informations.  Additionally the advertising pressures of online journalism pushed writers to cut corners and it became more about speed and views than accuracy.<br><br>Reading it now, over a decade post-publication, it’s interesting to know how the landscape being predicted in the book actually evolves. Social media has become the main engine of news, journalism is increasingly paywalled, and “fake news” has become part of the zeitgeist.<br>","",,"",No
"The Lion, the Witch and the Wardrobe",C.S. Lewis,"",9780062673435,paperback,to-read,2023/09/02,"","",0,"",,,,,,,,,"",,"",No
Stoner,John Williams,John McGahern (Contributor),9781590171998,paperback,to-read,2023/11/14,"","",0,"",,,,,,,,,"",,"",No
Drums of Autumn,Diana Gabaldon,"",9780385335980,paperback,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
The Lottery,Shirley Jackson,"",9780241590539,hardcover,to-read,2024/01/18,"","",0,"",,,,,,,,,"",,"",No
Babel,R.F. Kuang,"",9780063021426,hardcover,to-read,2025/01/26,"","",0,"",,,,,,,,,"",,"",No
The Catcher in the Rye,J.D. Salinger,"",9780316769174,paperback,read,2024/10/26,2024/11/13,2024/11/13,1,"",,,,,,,4.0,"A few months ago, I picked up The Catcher in the Rye after seeing a girl on TikTok say, ""If a guy says this is his favorite book, run."" I was intrigued. I hadn’t read it—never having been assigned it in high school—and knew little about it beyond its reputation as an iconic portrayal of teenage angst.<br><br>It appears that the “red flag” discourse around Catcher stems from two main ideas (in addition to its associations with John Lennon’s murder and the attempted assassination of Reagan). First, because it’s often assigned in early high school, people assume that calling it a favorite indicates a lack of reading since tenth grade—a sort of intellectual immaturity.<br><br>The second reason is more nuanced and centers around Holden Caulfield himself. Holden is a contradictory character, displaying an insufferable self-centeredness that might be relatable as a teenager but is hard to excuse in an adult. Critics have labeled him a “first-generation incel” and a “proto–school shooter,” viewing his bitterness and isolation as signs of dangerous mindsets. Others argue, though, that Holden is simply a vulnerable, traumatized sixteen-year-old, grieving his brother’s death and feeling abandoned by a society that provides him with neither role models nor compassion. Dismissing him as merely an angry teen overlooks his deeper vulnerabilities.<br><br>Upon reading it, I found Holden to be a character I could feel sympathy for. Yes, he’s hypocritical and annoying, but he’s also terrified of change and clings to the idea of being “The Catcher in the Rye”—a protector for children from the “phony” adult world. He shows empathy for others, even apologizing to the teacher who fails him. His love for his younger sister, Phoebe, is genuinely touching.<br><br>In New York, Holden practically begs for someone to listen to him. His attempts to reach out to adults are ignored, except for one schoolteacher who tries to “help” him but possibly only with a predatory intent. This neglect leaves him angry and cynical, yet still, we feel for him. We hope he’ll find someone who truly listens and understands.<br><br>While reading Catcher on Election Day this year, I found myself wondering what Holden would be like as an 18-year-old voter today. He’d probably skip voting, but if pushed, I think he’d vote for Trump. Despite his love for his sister and desire to protect young people, Holden’s disillusionment might draw him to a candidate who presents himself as an outsider—someone unafraid to reject the norms Holden despises.<br><br>Holden’s creator, J.D. Salinger, saw more combat in World War II than almost any other American soldier. He was on Utah Beach on D-Day, at the Battle of the Bulge, and one of the first Americans to enter a liberated concentration camp. Historically, Salinger isn’t part of the “Lost Generation” (a term referring to people who came of age during or just after World War I), but in many ways, Holden feels like a character from this generation.<br><br>The Lost Generation found the conservative morals of their parents irrelevant in a postwar world. President Harding’s call for a return to “normalcy” left them feeling spiritually alienated, as they faced what they believed to be hopelessly provincial, materialistic lives. After witnessing so much death, they rejected traditional ideas of behavior, gender roles, and morality, often acting recklessly in pursuit of personal freedom. Like them, Holden is “lost”—disconnected from society and wandering in search of something authentic.<br><br>This brings me to my central question: if we can sympathize with Holden’s disillusionment, should we also find sympathy for young men today who feel disconnected from modern definitions of masculinity? The men who voted for Trump, who tune into 'manosphere' media, who represent a sort of  Gen Z ""Lost Generation,"" craving a place in a world that feels unstable. <br><br>I think I can. I think more people need to, and I worry about the consequences of continuing to ignore or brush aside this “lost generation” of men—men who, like Holden Caulfield, are searching for connection,  pleading for someone to help them make sense of where they fit in an ever-shifting world. <br><br>The original “Lost Generation” found escape in drinking, indulged in sexual freedom to defy societal norms, and threw themselves into material comforts to distract from an unsteady sense of self. But Gen Z’s response to disillusionment seems different. Studies show they drink less, engage in less sex, and in many ways embody more restraint. Perhaps their coping mechanisms have shifted; perhaps tuning into hypermasculine media (the “manosphere” ran by Joe Rogan &amp; co.) is the Gen Z equivalent of drinking—a kind of social escape, a way to bond over shared discontent.<br><br>Like alcohol, this media isn’t inherently “a force for good,” but it’s not pure, unadulterated evil either. Just as many people can drink responsibly, I think plenty of young men can listen to these voices and find a sense of camaraderie without absorbing the underlying misogyny wholesale.<br><br>Yet, as with alcohol, it's possible to (in Holden's words) ""start to go over the cliff""— the to end up legitimately idolizing someone like Andrew Tate - or, if you're following my analogy: fall into the trap of alcoholism. So rather than rejecting (or unfollowing, blocking, etc.) anyone who 'drinks' perhaps we should aim to be the ‘Catcher in the Rye’ for these men, extending understanding before this once-occasional crutch becomes the only thing they can lean on.<br><br><i>But if I, as a woman, am willing to extend sympathy to this large group of men—some of whom I deeply disagree with, but can still feel for—shouldn’t I also be able to expect that if the roles were reversed, they’d do the same? Because, in truth, the roles are reversed</i>. <br><br>Ignoring the fears and feelings of others in today’s politics is very much a two-way street. So shouldn’t we also expect the men in our lives to listen to women? And not just the individual women they feel it’s their role to protect—the wives, daughters, sisters, and girlfriends—but also the collective voices of women in their country. A generation of women are now afraid for their bodily autonomy, just as a generation of men feel unsure of their place in the world.<br><br>I'll also acknowledge that framing this issue as simply “men vs. women” is reductive. There are intersecting factors at play—race, class, sexuality—that influence experiences of disconnection and belonging. These additional layers of identity shape how individuals experience societal expectations, complicating the dynamics of empathy and understanding across different groups. Still, exploring this in the context of gender can shed light on one significant dimension of today’s empathy gap.<br><br>A recent episode of The Daily (10/23/2024, “The Gender Election”) highlights this divide among young voters. According to the episode, men and women under 30 are now the most politically polarized generation. Many young men support Trump, supporting his economic policies and feeling that his outsider persona resonate with their sense of dislocation. By contrast, young women are often repelled, citing the rollback of reproductive rights and Trump’s misogynistic rhetoric.<br><br>In the podcast episode, The Times conducted interviews with these young voters. At the end of the interviews, the young women were asked if they could empathize with Trump-supporting men. Unsurprisingly, the young men weren’t asked in turn if they could empathize with the Kamala-supporting women (or if they were, it was cut for time in post-production).<br><br>A Substack post by Sara Hildreth, a former high school English teacher, offers an illuminating perspective on this empathy gap in her essay “Boy books, girl books, and the politics of reading.” Hildreth describes how, in her teaching experience, it was expected that girls could relate to male protagonists like Holden Caulfield or Gatsby. But asking boys to engage with female-led narratives like Jane Eyre or Beloved was often dismissed out of hand, as if boys’ empathy simply couldn’t stretch that far.<br><br>Young men, the author argues, aren’t often encouraged to see themselves in stories like Jane Eyre, where the heroine is completely dependent, or to understand the precarity faced by the Bennet sisters, who risk destitution without marriage. The violence and trauma experienced by Sethe in Beloved—and the horrific choices she makes—are similarly distanced from boys’ reading lists. “I have heard English teachers scoff at the very notion that boys should have to read Jane Eyre or are mature enough to handle Toni Morrison,” Hildreth observes.<br><br>This lack of exposure in literature, the author suggests, hinders men’s empathy beyond the classroom. “If young boys in schools are not asked or expected to connect with other experiences in books, when will we begin to teach them how to connect with other experiences in the real world?” The article points out a societal gap—reflected in how men prioritize their own roles within family dynamics over understanding the needs of women in their lives. Hildreth argues that “This is why we hear again and again from politicians in every party urging men to think about the lives of their wives, mothers, daughters and sisters. We don’t expect that men can empathize with women at large, so we beg them to consider those closest to them.” <br><br>Reflecting on my own education, I can see this bias in hindsight. In six years of English classes, mostly led by women, we only read two novels with female protagonists: To Kill a Mockingbird in seventh grade, and Kindred in tenth. I elected to read The Handmaid’s Tale and The Scarlet Letter as outside reading projects, but I doubt most boys in my did.<br><br>At the time, I didn’t question this, but looking back, I wonder how it has shaped all of us—what empathy was gained or lost by the books we were encouraged, or not encouraged, to read.","",,"",No
The Love Songs of W.E.B. Du Bois,Honorée Fanonne Jeffers,"",9780062942937,hardcover,to-read,2024/04/08,"","",0,"",,,,,,,,,"",,"",No
Empire of Storms,Sarah J. Maas,"",9781639731022,hardcover,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
Somebody's Daughter,Ashley C. Ford,"",9781250305978,hardcover,to-read,2022/08/14,"","",0,"",,,,,,,,,"",,"",No
The Secret Garden,Frances Hodgson Burnett,Sophie Dahl (Contributor),9780141321066,paperback,to-read,2023/09/02,"","",0,"",,,,,,,,,"",,"",No
Churchill and Orwell: The Fight for Freedom,Thomas E. Ricks,"",9781594206139,hardcover,to-read,2023/03/28,"","",0,"",,,,,,,,,"",,"",No
All About Love: New Visions,bell hooks,"",9780062862174,digital,read,2025/12/13,2025/12/30,2025/12/30,1,"",,,,,,,3.0,"This has been on my TBR for a while, but I finally picked it up up when I saw in an interview that if was a large inspiration for Olivia Dean’s sophomore album “The Art of Loving”.","",,"",No
House of Flame and Shadow,Sarah J. Maas,"",9781681193090,digital,read,2023/09/01,2024/02/03,2024/02/03,1,"",,,,,,,3.0,Patiently waiting for Ava to read this book so I can write a review without spoiling anything…,"",,"",No
Heir of Fire,Sarah J. Maas,"","",,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
Gone with the Wind,Margaret Mitchell,"",9780380001095,paperback,to-read,2023/10/23,"","",0,"",,,,,,,,,"",,"",No
Real Americans,Rachel Khong,"",9780593537251,hardcover,read,2025/02/21,"","",2,"",,,,,,,3.0,"DNF @ 70% - I’ve checked this book out from the library 3 times now, just couldn’t get into it. Nothing bad to say.","",,"",No
Lady Susan,Jane Austen,"",9780241582527,hardcover,read,2024/01/18,2024/01/28,2024/01/28,1,"",,,,,,,4.0,"Short and sweet. Lady Susan is a villain you love to hate. The ending is a bit abrupt, but given the length of the novella it’s hard to be upset.","",,"",No
The Fall of the House of Usher,Edgar Allan Poe,"","",digital,read,2024/02/03,"","",1,"",,,,,,,3.0,"A bit hard to get in to. The prose is beautiful, but challenging, and the story really picks up in the second half.","",,"",No
A Court of Wings and Ruin,Sarah J. Maas,"",9781635575606,paperback,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
A Christmas Carol,Charles Dickens,"",9780241331606,hardcover,to-read,2023/09/02,"","",0,"",,,,,,,,,"",,"",No
The Right It: Why So Many Ideas Fail and How to Make Sure Yours Succeed,Alberto Savoia,"",9780062884657,hardcover,read,2025/08/11,2025/08/31,2025/08/31,1,"",,,,,,,3.0,This was fine! I feel like this 6hrs of content could have been an awesome 1hr YouTube video.,"",,"",No
Pride and Prejudice,Jane Austen,"",9780141040349,hardcover,read,2023/08/29,2023/09/01,2023/09/01,1,"",,,,,,,5.0,"I adored Pride and Prejudice. I am embarrassed that earlier this year I spent hours trudging through Bridgeton when I could have read this instead. Once I made it through the first half, it was a real page turner. One of the original (and definitely one of the best) enemies to lovers stories to exist.","",,favorites,No
Finding Grace,Loretta Rothschild,"",9781250381828,hardcover,to-read,2025/01/05,"","",0,"",,,,,,,,,"",,"",No
The Immortalists,Chloe Benjamin,"",9780735213180,hardcover,to-read,2024/04/13,"","",0,"",,,,,,,,,"",,"",No
Great Expectations,Charles Dickens,"David Trotter (Contributor), Charlotte Mitchell (Contributor)",9780141040363,hardcover,read,2023/08/17,2018/10/10,2018/10/10,2,"",,,,,,,4.0,,"",,"",No
David Copperfield,Charles Dickens,"",9780141394640,hardcover,to-read,2023/11/01,"","",0,"",,,,,,,,,"",,"",No
Lolita,Vladimir Nabokov,Anton Kurnia (Translator),9789791112864,paperback,to-read,2025/02/21,"","",0,"",,,,,,,,,"",,"",No
The Covenant of Water,Abraham Verghese,"",9780802162175,hardcover,to-read,2024/04/02,"","",0,"",,,,,,,,,"",,"",No
Wuthering Heights,Emily Brontë,"",9780141040356,hardcover,read,2023/08/17,2023/08/21,2023/08/21,2,"",,,,,,,4.0,"2025 update: I’m bumping this up to 4 stars (and it could definitely be 5 in the future).<br><br>I think the first time I read it, I went in expecting a tragic, Romeo &amp; Juliet type story. Cathy &amp; Heathcliff are star-crossed lovers but Heathcliff class/race, and Cathy’s social ambitions keep them apart. That element exists, but I’d caution anyone against reading this purely as a 'romance' novel.<br><br>I think it reads far better (and more nuanced) as an exploration of intergenerational trauma. It’s about the cost of hurting others, the way we sabotage our own happiness to punish someone else, and how revenge poisons everyone it touches.<br><br>I also came away with a much deeper respect for Brontë’s craft. The first time through, I was so consumed by my loathing for the characters that I missed how meticulously structured the book is. The characters, setting, and language are intricate and obviously purposeful, yet the book and all the emotions it brings feel raw and untamed. <br><br>——————————<br><br>2023 review: <br><br>3 stars - It’s worth reading. Heathcliff and Cathy are Romeo and Juliet. If Romeo and Juliet were utterly unlikable people.<br><br>There are some amazing passages worth revisiting and while I don't know if it's a book I will want to fully re-read in the future. I thoroughly enjoyed the first half of the novel (I think the second half drops off a little).","",,"",No
If Cats Disappeared from the World,Genki Kawamura,Eric Selland (Translator),9781250294050,hardcover,to-read,2024/02/26,"","",0,"",,,,,,,,,"",,"",No
