Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44318414,The Dutch House,Ann Patchett,"Patchett, Ann",,"=""0062963678""","=""9780062963673""",4,4.10,Harper,Hardcover,337,2019,2019,2025/01/06,2024/12/30,,,read,"There's something funny about giving someone a tour of your hometown when you're from a small place. The stops on my hometown tour route are all pretty mundane locations that I know must be boring for my guest: my high school, my favorite grocery store, the restaurant where I had my first job. <br/><br/>But I imagine that whenever anyone from a small town gives a late-night driving hometown tour, the local high school is on the itinerary. We all know what a high school looks like, but somehow showing someone ""yours"" feels important.<br/><br/>There is a lot of nostalgia around places and objects; it's much easier to separate out only the positive memories around these inanimate objects than it is to do with people, and therefore places become very nostalgic. Homes (essential places full of objects) even more so. I think that capturing the nostalgia around place that Patchett succeeds most with <I>The Dutch House</I>.<br/><br/>The Dutch House doesn't achieve the literary permanence of Manderley or Wuthering Heights. For me I can't say that the houser really developed as a character in its own right as some of these other abodes did. However, The siblings' reactions and nostalgia for the home feel deeply realistic.<br/><br/><I>The Dutch House</I> is a story of siblings Danny and Maeve Conroy and their obsessive connection to the iconic family house they lived in as children. After their mother abandons them and their father remarries a cold, ambitious woman named Andrea, the siblings depend entirely on each other. When their father dies, Andrea inherits everything and immediately throws them out. This starts an obsessive ritual where Danny and Maeve return periodically to park across from the Dutch House, gazing at it and recalling memories, wondering how life would have panned out—if only. The emotional baggage they carry together drives them forward but also restricts their successes and the paths they take. The pair is trapped by nostalgia for a version of life that was never actually as happy as they remember, and their constant ""what if"" thinking holds them back from building real futures.<br/><br/>I've recently added ""Woods Creek Road"" to my hometown tour route. It's long and dark and has no shoulder. It was the type of road you can't speed on because there are blind corners and lots of deer that you could hit if you weren't being careful. But a few years ago, the road received a callout in a Benson Boone song. Now the road—dormant and unnoticeable in my memory for years—has somehow been transformed into something I feel nostalgic for. I imagine all of the late nights I spent returning from volleyball practices, blasting Lonely Island music while I tried to make it home without falling asleep.<br/><br/>Memory and nostalgia are weird in that way. We can assign memories and meaning to something that maybe didn't have these memories and meaning to us in the first place. This is exactly what happens to Danny and Maeve with the Dutch House—they've built it up in their minds as this perfect lost Eden, when the reality was much more complicated and painful.<br/><br/>I think nostalgia, particularly for the analog technology of the '90s and early 2000s, is something we'll see even more of this year. The last few years have seen major trends in older photography (Polaroids, film, Super 8, digital cameras) and record players, and I think we'll see growing interest in ""dumb phones,"" DVD collecting, and similar throwbacks neatly packaged in an ""analog living"" trend.<br/>It's an interesting form of nostalgia, especially because I feel like it comes from a younger (Gen Z) audience, who didn't really use these objects much or at all in their real lives before they became obsolete. This older technology feels appealing because it stems from longing for a time when technology was new, exciting, and full of promise versus our AI/algorithm-obsessed present where it's addictive, all-consuming, and threatens jobs and autonomy.<br/><br/>Like the siblings returning to stare at the Dutch House, maybe we're all looking backward because moving forward feels too uncertain. But does this backward gaze help us (can older tech actually help people break phone/dopamine addictions?) or is living in the nostalgia holding us back?",,,1,0
52283963,The Mom Test: How to talk to customers & learn if your business is a good idea when everyone is lying to you,Rob  Fitzpatrick,"Fitzpatrick, Rob",,"=""""","=""""",3,4.37,Robfitz Ltd,Kindle Edition,138,2019,2013,2025/09/26,2025/09/28,,,read,"A good intro to customer discovery conversations! <br/><br/><I>The Mom Test</I> gives a good framework for collecting feedback that hinges on avoiding talking about your business idea/solution and instead focus on understanding people's actual lives through specific past examples, not hypothetical futures. <br/><br/>The key insight is that people know their problems but not the solutions, so your job when collecting feedback is to uncover their goals and motivations by asking ""why do you bother"" and observing behavior rather than collecting opinions. If someone hasn't already tried solving a problem, they won't buy your solutions.",,,1,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",3,3.73,William Morrow,Paperback,319,2023,2023,2025/11/26,2025/11/26,,,read,"It was fun & entertaining! This was my first book from R.F. Kuang and given all the praise I've read about her, I think maybe I was expecting a bit more from this, but I'm excited to check out some of her other works. As far as <i>Yellowface</i> goes, I think there were parts of it that felt too ""of the times"" to be a novel that endures long beyond the current praise. I also think it might have been stronger without the last 20%.",,,1,0
50,"Hatchet (Brian's Saga, #1)",Gary Paulsen,"Paulsen, Gary",,"=""0689840926""","=""9780689840920""",2,3.79,Atheneum Books for Young Readers: Richard Jackson Books,Hardcover,208,2000,1987,2025/03/12,2025/02/21,,,read,"I remember loving this book as a child. It was still lovable, but not quite as enduringly great as some of the other children/YA books I've revisited this year.",,,1,0
35489159,Lawn Boy,Jonathan Evison,"Evison, Jonathan",,"=""1616202629""","=""9781616202620""",3,3.83,Algonquin Books,Hardcover,312,2018,2018,2025/02/20,2025/02/09,,,read,"I picked this up because it was on the American Library Associations list of ""Most Frequently Challenged Books"" for the last few years. No better publicity than banning a book, right? <br/><br/>I thought it was good, Although I'd doubt it's the type of banned-book to become a ""classic"". The protagonist was reminiscent of a modern working-class Holden Caulfield, but a bit more sympathetic.",,,1,0
11958983,Eisenhower in War and Peace,Jean Edward Smith,"Smith, Jean Edward",,"=""140006693X""","=""9781400066933""",0,4.08,Random House,Hardcover,976,2012,2012,,2025/12/27,to-read,to-read (#97),to-read,,,,0,0
209439446,"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374186""","=""9781649374189""",2,4.21,Red Tower Books,Hardcover,544,2025,2025,2025/01/25,2025/01/23,,,read,The writing felt super rushed! I also found it very challenging to track the myriad of characters. I'll read the next one though. Glad author is taking a longer break between books.,,,1,0
30689337,Rebecca,Daphne du Maurier,"Maurier, Daphne du",Lucy Hughes-Hallett,"=""1101907878""","=""9781101907870""",5,4.25,Everyman's Library,Hardcover,456,2017,1938,2025/11/11,2025/11/08,,,read,"Growing up, my parents often teased me about my tendency to see the world in black and white. My dad would praise me when I did something that fell into ""the grey.""<br/><br/>From the very beginning, Daphne du Maurier sets up stark, black-and-white contrasts between her characters. Our young narrator meets Maxim de Winter, a man exactly twice her age. The narrator is emotional and intense, while Maxim is stoic. She wants to preserve every moment of the past; he wants to forget it. She’s naive and inexperienced; he’s established and deeply scarred by the death of his first wife, Rebecca.<br/><br/>Then there’s Rebecca, whose shadow “haunts” Manderley long after her death. Confident, beautiful, and seemingly without fault, Rebecca is everything the narrator is not. Where the narrator hides from company, Rebecca is a social butterfly. Where Rebecca is decisive, the narrator is hesitant.<br/><br/>A major twist reveals that <spoiler>Maxim is responsible for Rebecca’s death, and he may be convicted for it. Courtrooms, like much of the world, operate in binary terms — innocence or guilt, life or death. As readers, we find ourselves neither fully rooting for Maxim nor against him</spoiler>. The characters in Rebecca are not purely good or evil. Morality is always a shade of grey. <spoiler>Yes, he killed Rebecca, but if forced to choose between his conviction and hanging or him getting away with it, what would we do? We can understand why Maxim did what he did—even if we wouldn't have chosen the same path. Does that make him more evil than good, deserving of punishment, or can we see some humanity in his actions and hope he is spared?</spoiler><br/><br/>Modern culture (especially internet culture) often falls into the trap of binary thinking — categorizing things into opposing extremes of good and evil, right and wrong. I think this is especially evident in how we interact with scandals and wrongdoing. <br/><br/>For example, this summer, when videos surfaced of a CEO and another executive having a public extramarital affair during a Coldplay concert, the internet rushed to judgment. The mistake was real, but the backlash quickly became extreme. People sent death threats, flooded the family’s social media, and condemned them publicly without pause. The viral reaction far outweighed the wrongdoing, leaving little room for nuance, context, or empathy.<br/><br/>In <i>Rebecca</i>, du Maurier illustrated how real life, and real people, don’t fit into these binary categories. There is always more beneath the surface. We are all a shade of grey.",,,1,0
27161156,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",,"=""""","=""""",4,3.84,Harper,Hardcover,264,2016,2016,2025/05/11,2025/11/21,,,read,"Is the ""American Dream"" dead? I guess we'd first need to define what the American Dream actually is. So often we think of it as the opportunity for upward mobility. Work hard and you'll be rewarded with a career, a house, a family, and stability. A collection of material successes.<br/><br/>But I think something more fundamental lies at the heart of the American Dream: the ability to constantly reinvent yourself. Underneath all those material milestones is something deeper—the freedom to become someone new. The modern markers of adulthood may be material things like a car, a diamond ring, a house, or even a child, but they also offer a new identity. You reinvent yourself as a ""driver,"" ""fiancé,"" ""homeowner,"" or ""parent.""<br/><br/>Reinvention is something we deeply crave as humans. As kids, we dress up and play make-believe. As adults, we look forward to being someone else, someone new, every Halloween. The freedom to constantly reinvent yourself is very core to the American identity. Consider that America is a country of immigrants. Many people who came through Ellis Island were given or chose a new name on the spot. They left behind old identities and old careers to become someone entirely new: an instant reinvention.<br/><br/>I picked up <i>Hillbilly Elegy</i> earlier this year after reading George Packer's Atlantic profile of Vance, <a href=""https://www.theatlantic.com/magazine/archive/2025/07/jd-vance-reinvention-power/682828/"">""The Talented Mr. Vance.""</a> Packer writes:<br/><blockquote>""Still only 40, Vance is likelier than anyone to be the next president. [...] His rise has been so dramatic and self-dramatized that he calls to mind those emblematic figures from history who seem both out of a storybook and all too human, such as Shoeless Joe Jackson and Huey Long. [...] More than any other public figure of this century, including Barack Obama (to whom his career bears some similarities), and even Trump, Vance illuminates the larger subject of contemporary America's character. In another age, his rise might have been taken as proof that the American dream was alive and mostly well. But our age has no simply inspiring and unifying tales, and each chapter of Vance's success is part of a national failure: the abandonment of American workers under global neoliberalism; the cultural collapse of the working class; the unwinnable forever war; a dominant elite that combines ruthless competition with a rigid orthodoxy of identity; a reaction of populist authoritarianism. What seems like Vance's tragic wrong turn, the loss of real promise, was probably inevitable—it's hard to imagine a more hopeful plot.""</blockquote><br/><i>Hillbilly Elegy</i> came out a few months before the 2016 election at the very last moment for a book like this to shape the national conversation. Just months later we entered a political era where it was no longer possible to have an honest response to a narrative across political battle lines.<br/><br/>In this memoir, Vance is earnest, sensitive, and kind. The book feels painfully sincere. The narrator is honest enough to show himself being hotheaded, cowardly, and insecure. He loves his family and community but is honest about their failures. He rejects tribal grievance. He doesn't settle for easy answers.<br/><br/>It's easy now to read <i>Hillbilly Elegy</i> as a work of bad faith: calculated and opportunistic. We view every line through a lens of suspicion because of who Vance is today. But I think that to do so would be extremely unfair.<br/><br/>Vance's change between then and now is perhaps another example of this idea that the true American Dream is constant reinvention. J.D. Vance's life has been one long, dramatic reinvention: poor hillbilly, Marine, Yale lawyer, venture capitalist, memoirist, Never Trump politician, Trump's vice president. Just 41 years old, and Vance has reinvented himself many times over.<br/><br/>There's something unsettling about knowing that people change and reinvent themselves. It's like going to your partner's childhood home over the holidays and realizing a different version of them existed for their family — a version you'll never meet. People constantly shed themselves in tiny increments and sometimes end up very different from who you first knew. It's a type of loss.<br/><br/>But for us as individuals, there's something beautiful and alluring and hopeful in the idea that we're not stuck with one fixed self. Reinvention keeps New Year's resolutions alive. It motivates people to go to therapy, to the gym, to bookstores.<br/><br/>If we consider the ability to ""reinvent yourself"" and reboot your identity as central to the American Dream, we must also consider how our digital age makes this increasingly impossible. Reinvention used to be a matter of moving across the country or choosing a new job title. Now, a few seconds after meeting someone, we can type their name into the Instagram search bar and scroll back through years of pictures. Just cosmetically, we can find the before and after of a boob job, lip filler, or rhinoplasty. We can find someone's natural hair color or determine if the timeline in which they lost weight means they're on Ozempic.<br/><br/>A bad joke from 2012 can resurface in 2025; it doesn't matter that 2025 you would never say something like that. 2012 you did. You can't outrun your past when every earlier version of yourself is catalogued, searchable, and screenshot-able.<br/><br/>It's much more anxiety-inducing to try and become someone new, take the leap of reinvention, and try to be someone better when there's always the threat of your past mistakes resurfacing. Your reinvention being deemed inauthentic by the observer who can compare multiple versions of you.<br/><br/>In the same Atlantic piece, Packer wrote: ""With his gifts of intellect and rhetoric, Vance might have brought the country’s conflicting strands together. They had combined to make him, and he knew them deeply—their flaws, their possibilities, their entwined fate. Instead, he took a path of extreme divisiveness to the peak of power, becoming a hard-line convert to the Catholic Church, post-liberal populism, and the scorched-earth cause of Donald Trump. Vance became a scourge of the elites among whom he’d found refuge, a kingpin of a new elite, avenging wrongs done to his native tribe.""<br/><br/>I wonder if it would be possible for Vance to reinvent himself again? To change his views and become a force for unity, as Packer suggested was possible pre-Trump? I think 25 years ago, the answer would have been yes. But today, I think it's no. Every future version of Vance will have to coexist with every past version, archived online forever, weaponized by every opponent, lingering in every search result.<br/><br/>On the surface, this is kind of comforting. The fact that we have a way to record the bad things people have done makes us less likely to be tricked or deceived. We can judge a person's goodness based on the digital artifacts of their past. But the more we think about it, the sadder it becomes. By constantly comparing people to their former selves, we don't give them the space to grow and change. And how can we ever become a better country if we don't allow for that growth?<br/><br/>If the American Dream has always rested on the possibility of redemptive reinvention—on the belief that who we were doesn't have to define who we are—then without that possibility, we lose more than individual transformation. We lose our collective capacity for progress.",,,1,0
204880158,From Here to the Great Unknown,Lisa Marie Presley,"Presley, Lisa Marie",Riley Keough,"=""0593733894""","=""9780593733899""",5,4.24,Random House,Kindle Edition,305,2024,2024,2025/11/12,2024/10/11,,,read,"I listened to the audiobook! It was great, narrated by Riley Keough and Julia Roberts, with clips of Lisa Marie Presley woven throughout. Riley Keough is Lisa Marie’s eldest daughter, and her narration gives the memoir an interesting multigenerational dimension. In completing the memoir for her mother, Riley is able to beautifully blend three portraits at once: Elvis as a father through Lisa Marie’s memories, Lisa Marie in her own words, and Lisa Marie as a mother and grandmother through Riley’s eyes.<br/><br/>There were so many things I had no idea about: Lisa Marie’s relationship with her dad, her struggles with addiction, her wild and rebellious years, and her marriage to Michael Jackson.<br/><br/>The memoir feels very honest. It is not “relatable,” but it paints an interesting picture of the unique emotional cost that extreme fame can have on a family. Lisa Marie illustrates how overwhelming it was to be Elvis’s daughter, or to grieve him when the whole world was watching. Living in Elvis’s shadow filled her life with pressure and uncertainty. She wanted real connection but often felt too shy or unsure to trust that people cared about her for the right reasons. The result is a touching portrait of a complicated, sensitive person trying to find her place in a world that never felt normal.",,,1,0
158622,The War of the Roses,Warren Adler,"Adler, Warren",,"=""1402201958""","=""9781402201950""",0,3.48,Stonehouse Press,Paperback,243,1992,1981,,2025/11/20,to-read,to-read (#96),to-read,,,,0,0
45046527,American Dirt,Jeanine Cummins,"Cummins, Jeanine",,"=""""","=""""",0,4.36,Flatiron Books,Hardcover,459,2020,2020,,2025/06/29,to-read,to-read (#95),to-read,,,,1,0
20893623,Of Orcas and Men: What Killer Whales Can Teach Us,David Neiwert,"Neiwert, David",,"=""1468308653""","=""9781468308655""",0,4.27,Abrams Press,Hardcover,320,2015,2015,,2025/11/14,to-read,to-read (#94),to-read,,,,0,0
25716554,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Boris Fishman, Christopher Conn Askew, Richard Pevear, Larissa Volokhonsky","=""0143108271""","=""9780143108276""",0,4.28,Penguin Classics,Paperback,412,2016,1967,,2025/11/11,to-read,to-read (#93),to-read,,,,0,0
23426,On Love,Alain de Botton,"Botton, Alain de",,"=""0802142400""","=""9780802142405""",2,3.96,Grove Press,Paperback,194,2006,1993,2025/11/08,2023/10/22,,,read,I liked this a lot for the first 25 pages… then less and less with each subsequent page until I gave up halfway through. ,,,1,0
33413128,"Beartown (Beartown, #1)",Fredrik Backman,"Backman, Fredrik",Neil Smith,"=""""","=""""",0,4.29,Simon & Schuster,ebook,432,2017,2016,,2025/11/08,to-read,to-read (#92),to-read,,,,0,0
57693262,Cleopatra and Frankenstein,Coco Mellors,"Mellors, Coco",,"=""1635576814""","=""9781635576818""",3,3.69,Bloomsbury Publishing,Paperback,368,2022,2022,2025/10/22,2025/10/15,,,read,"I liked this. (I think?)<br/><br/>I have a hard time with contemporary literary fiction and as far as that category goes, this ranks highly. I liked this a lot more than Anne Neapolitan’s “Hello Beautiful” & a fair amount less than Anne Patchett’s “Tom Lake”.",,,1,0
222490389,Alchemised,SenLinYu,"SenLinYu, SenLinYu",,"=""0593972708""","=""9780593972700""",0,4.41,Del Rey,Hardcover,1030,2025,2025,,2025/09/28,to-read,to-read (#91),to-read,,,,0,0
13542853,"Trust Me, I'm Lying: Confessions of a Media Manipulator",Ryan Holiday,"Holiday, Ryan",,"=""159184553X""","=""9781591845539""",2,3.86,Portfolio,Hardcover,259,2012,2012,2025/09/17,2025/09/17,,,read,"This book randomly reminded me how much I adore HBO’s The Newsroom (one of my all time favorite shows and way more worthy of your time than this book). <br/><br/>When that show aired, and when this book was written, we were right at the edge of the “fake news” era. The whole premise of The Newsroom is that people want to be informed voters, they want the truth, they want both sides of the story. But the decade since has shown almost the exact opposite.<br/><br/>This book was pretty out of date (not sure where I saw it referenced recently that inspired me to check it out), and reads as an early sketch of how “fake news” works and how financial pressure shapes journalism in the digital age.<br/> <br/>Lots of focus is place on blogs which really started to emerge as a major news source in the late 2000s and early 2010s. Twitter played a huge role in breaking news too, and people came to expect near instant access to informations.  Additionally the advertising pressures of online journalism pushed writers to cut corners and it became more about speed and views than accuracy.<br/><br/>Reading it now, over a decade post-publication, it’s interesting to know how the landscape being predicted in the book actually evolves. Social media has become the main engine of news, journalism is increasingly paywalled, and “fake news” has become part of the zeitgeist.<br/>",,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",2,4.03,Vintage International,Paperback,123,1989,1942,2025/09/16,2024/11/22,,,read,"It’s a peculiar little book, and I don’t think I was in the right headspace to fully “get” it.<br/><br/>Camus presents an existentialist take on life through the story of Meursault, a man condemned less for his actions than for his lack of conventional emotions toward them. His trial isn’t really about guilt or innocence, it’s about whether he conforms to the emotional expectations society demands.<br/><br/>I’m a bit surprised this novel appears often on high school syllabi. On the surface, its brevity and simple style make it accessible, but I feel like most high schoolers today would be quick to read Meursault as neurodivergent — someone with autism or Asperger’s — rather than character meant to illustrate Camus’ ideas about absurdity and the human condition.",,,1,0
60018618,Unreasonable Hospitality: The Remarkable Power of Giving People More Than They Expect,Will Guidara,"Guidara, Will",,"=""0593418573""","=""9780593418574""",3,4.42,Optimism Press,Hardcover,288,2022,2022,2025/09/10,2025/09/07,,,read,"I enjoyed this! The stories and anecdotes were fun, though I may have appreciated them even more as a fan of “The Bear”. It was interesting to see how moments from Will Guidara’s life were adapted and written into the show (he’s an executive producer and writer on it).<br/><br/>I’m not sure it would have been quite as enjoyable on its own if I hadn’t had the chance to connect the dots between the two.",,,1,0
26950,The Custom of the Country,Edith Wharton,"Wharton, Edith",Linda Wagner-Martin,"=""0143039709""","=""9780143039709""",4,4.07,Penguin Books,Paperback,370,2006,1913,2025/09/07,2025/06/29,,,read,"A few years ago Apple TV announced an adaptation of The Custom of the Country with Sofia Coppola directing and Florence Pugh rumored to star as Undine Spragg: the novel’s audacious social-climbing heroine, a kind of Gilded Age Kardashian. Wharton’s narration captures her perfectly in lines like, “If only everyone would do as she wished she would never be unreasonable” and “it was always hard to make her see why circumstances could not be bent to her wishes.”<br/><br/>The project was eventually dropped. Audiences rarely object to an unlikeable male hero, but an unlikeable female heroine on a big-budget stage is another story.<br/><br/>I’ve read most of Wharton’s major works by now, and I’d place her in the very highest tier of writers. She’s still under-recognized for how extraordinary she is as a cultural anthropologist and how modern her characters feel.<br/><br/>In her autobiography, Wharton notes that Darwin was a major influence. It makes sense: so much of the novel is about ambition, survival, and the ruthless pecking order of Gilded Age New York.<br/><br/>Undine Spragg (initials U.S., not by accident) carries a name heavy with meaning. She is christened after her grandfather’s most profitable invention, a hair-waving machine that points to her fixation on appearances and the admiration of others. At the same time, “Undine” recalls the water sprite who must marry a mortal to gain a soul. Wharton weaves all this into a character who perfectly embodies the American capitalist consumer: restless, acquisitive, never satisfied, always reaching.<br/><br/>It is easy to dislike Undine. Yet what makes her harder to embrace than other famous literary anti-heroines, like Becky Sharp, is the very approachability of her desires and methods. She reflects not grand villainy but the quieter, more familiar ambitions of American womanhood.<br/><br/>Take Becky Sharp in Vanity Fair. Becky is witty, ruthless, and willing to do anything—lie, cheat, steal, perhaps even kill—if it gets her closer to power. Her brazenness is what makes her entertaining. We can watch her with a mix of horror and delight, secure in the belief that we are either too moral or not clever enough to ever behave as she does.<br/><br/>Undine, by contrast, is better behaved. With each marriage she makes a sincere effort to meet her husband’s expectations, at least for a time. And despite her unhappy unions and the attention she receives from other admirers, she never strays (at least not on her side). Her great “sin” is quieter: she longs for new clothes, fresh admiration, higher social standing, new people to talk to, and the thrill of being in a crowd. When novelty fades, she grows restless and reaches for the next thing. None of these desires are shocking, and that is precisely the point. They are the kinds of longings many of us might quietly share, and Undine pursues them in ways not so different from what we might do if presented with the same opportunities.<br/><br/>If Becky is relentless, Undine is restless. That restlessness makes her harder to watch, because it feels too close to home. She is a mirror we would rather turn away from, even as we catch our own reflection in her surface.<blockquote>”She had everything she wanted, but she still felt, at times, that there were other things she might want if she knew about them.”</blockquote><br/><br/>Undine’s hunger is uncomfortably modern. She is the ancestor of the influencer: forever performing, forever wanting. We may scorn her just as we scorn those who live their lives online, but many of us would trade places with them in an instant. Perhaps that is the real “custom of the country.” What makes Undine unbearable is not that she is alien to us, but that she is far too familiar.",,,1,0
34523806,"The Longevity Economy: Unlocking the World's Fastest-Growing, Most Misunderstood Market",Joseph F. Coughlin,"Coughlin, Joseph F.",,"=""1610396634""","=""9781610396639""",3,3.91,PublicAffairs,Hardcover,352,2017,2017,2025/08/07,2025/08/04,,,read,I read this so I’d have stuff to talk about on LinkedIn… for that it was great! Honestly it was pretty great in general. Age tech is a super interesting space in the way that businesses often approach building for older adults.,,,1,0
62929342,Real Americans,Rachel Khong,"Khong, Rachel",,"=""0593537254""","=""9780593537251""",3,3.95,Knopf,Hardcover,416,2024,2024,,2025/02/21,,,read,"DNF @ 70% - I’ve checked this book out from the library 3 times now, just couldn’t get into it. Nothing bad to say.",,,2,0
